,left,right,combine
0,"[Y\ZR jga,z!1Nkw$X.#6fJ>ip&]~Vv?q_enmCHuL","@(GM4h/o'U-{Er%BObP)*y}S""s28`DQ5W^+|:9=K<3l7Fc0;txTAdI","[Y\ZR jga,z!1Nkw$X.#6fJ>ip&]~Vv?q_enmCHuL@(GM4h/o'U-{Er%BObP)*y}S""s28`DQ5W^+|:9=K<3l7Fc0;txTAdI"
1,@(GM4h/o'U-{Er%BObP)*y},"S""s28`DQ5W^+|:9=K<3l7Fc0;txTAdI","@(GM4h/o'U-{Er%BObP)*y}S""s28`DQ5W^+|:9=K<3l7Fc0;txTAdI"
2,"[Y\ZR jga,z!1Nkw$",X.#6fJ>ip&]~Vv?q_enmCHuL,"[Y\ZR jga,z!1Nkw$X.#6fJ>ip&]~Vv?q_enmCHuL"
3,"S""s28`DQ5W^+|:9=K",<3l7Fc0;txTAdI,"S""s28`DQ5W^+|:9=K<3l7Fc0;txTAdI"
4,@(GM4h/o,'U-{Er%BObP)*y},@(GM4h/o'U-{Er%BObP)*y}
5,X.#6fJ>ip&],~Vv?q_enmCHuL,X.#6fJ>ip&]~Vv?q_enmCHuL
6,[Y\ZR jga,",z!1Nkw$","[Y\ZR jga,z!1Nkw$"
7,"S""s28`DQ5W",^+|:9=K,"S""s28`DQ5W^+|:9=K"
8,<3l7F,c0;txTAdI,<3l7Fc0;txTAdI
9,'U-{Er%B,ObP)*y},'U-{Er%BObP)*y}
10,@(GM,4h/o,@(GM4h/o
11,~Vv?q_e,nmCHuL,~Vv?q_enmCHuL
12,X.#6,fJ>ip&],X.#6fJ>ip&]
13,",z!1",Nkw$,",z!1Nkw$"
14,[Y\ZR, jga,[Y\ZR jga
15,<3,l7F,<3l7F
16,c0;tx,TAdI,c0;txTAdI
17,"S""s2",8`DQ5W,"S""s28`DQ5W"
18,^+|,:9=K,^+|:9=K
19,Ob,P)*y},ObP)*y}
20,'U,-{Er%B,'U-{Er%B
21,4h/,o,4h/o
22,@(,GM,@(GM
23,nm,CHuL,nmCHuL
24,fJ>,ip&],fJ>ip&]
25,~Vv?,q_e,~Vv?q_e
26,Nk,w$,Nkw$
27,X.,#6,X.#6
28,",z",!1,",z!1"
29, j,ga, jga
30,[Y\,ZR,[Y\ZR
31,S,"""s2","S""s2"
32,T,AdI,TAdI
33,c0,;tx,c0;tx
34,:9,=K,:9=K
35,<,3,<3
36,^+,|,^+|
37,l,7F,l7F
38,P),*y},P)*y}
39,8`,DQ5W,8`DQ5W
40,O,b,Ob
41,',U,'U
42,-{Er%,B,-{Er%B
43,4h,/,4h/
44,G,M,GM
45,@,(,@(
46,n,m,nm
47,CH,uL,CHuL
48,q,_e,q_e
49,~V,v?,~Vv?
50,ip,&],ip&]
51,f,J>,fJ>
52,!,1,!1
53,X,.,X.
54, ,j, j
55,g,a,ga
56,#,6,#6
57,Z,R,ZR
58,N,k,Nk
59,",",z,",z"
60,w,$,w$
61,^,+,^+
62,;t,x,;tx
63,"""s",2,"""s2"
64,8,`,8`
65,[Y,\,[Y\
66,=,K,=K
67,P,),P)
68,c,0,c0
69,*,y},*y}
70,Ad,I,AdI
71,DQ5,W,DQ5W
72,:,9,:9
73,7,F,7F
74,-{E,r%,-{Er%
75,&,],&]
76,4,h,4h
77,u,L,uL
78,~,V,~V
79,_,e,_e
80,C,H,CH
81,J,>,J>
82,i,p,ip
83,v,?,v?
84,"""",s,"""s"
85,[,Y,[Y
86,r,%,r%
87,y,},y}
88,;,t,;t
89,D,Q5,DQ5
90,A,d,Ad
91,-,{E,-{E
92,{,E,{E
93,Q,5,Q5
