,left,right
0,_VarHmOouGe%lR:~)X6TMpC*>n<&+ZfL;w#|U,"4E2!K\[Q$N9yAY=8h` x^zFcj/J30.'k17bdvq5B}gt,{(]sDi?P@-S""IW"
1,4E2!K\[Q$N9yAY=8h` ,"x^zFcj/J30.'k17bdvq5B}gt,{(]sDi?P@-S""IW"
2,_VarHmOouGe%lR:~)X,6TMpC*>n<&+ZfL;w#|U
3,x^zFcj/J30.'k17b,"dvq5B}gt,{(]sDi?P@-S""IW"
4,4E2!K\[Q$N,9yAY=8h` 
5,6TMpC*>n,<&+ZfL;w#|U
6,_VarHmOou,Ge%lR:~)X
7,"dvq5B}gt,{(]s","Di?P@-S""IW"
8,x^zFc,j/J30.'k17b
9,9yAY=8,h` 
10,<&+ZfL;,w#|U
11,4E2!K,\[Q$N
12,Ge%lR,:~)X
13,6TMp,C*>n
14,_VarH,mOou
15,j/J30.'k,17b
16,dvq5B},"gt,{(]s"
17,Di?,"P@-S""IW"
18,x^z,Fc
19,h`, 
20,9yAY,=8
21,4E,2!K
22,<&+,ZfL;
23,w#,|U
24,\[Q,$N
25,Ge%,lR
26,:~,)X
27,mO,ou
28,6T,Mp
29,C*,>n
30,1,7b
31,D,i?
32,P@-S,"""IW"
33,"gt,{",(]s
34,j/J3,0.'k
35,_Va,rH
36,dv,q5B}
37,F,c
38,x,^z
39,=,8
40,h,`
41,|,U
42,$,N
43,9y,AY
44,2!,K
45,4,E
46,\[,Q
47,Zf,L;
48,<,&+
49,w,#
50,6,T
51,C,*
52,),X
53,m,O
54,l,R
55,:,~
56,G,e%
57,M,p
58,>,n
59,o,u
60,"""I",W
61,(,]s
62,_,Va
63,P@-,S
64,q,5B}
65,7,b
66,r,H
67,0,.'k
68,i,?
69,j/,J3
70,d,v
71,gt,",{"
72,^,z
73,9,y
74,A,Y
75,L,;
76,2,!
77,Z,f
78,&,+
79,\,[
80,e,%
81,",",{
82,j,/
83,5,B}
84,"""",I
85,.',k
86,J,3
87,],s
88,g,t
89,V,a
90,P@,-
91,P,@
92,B,}
93,.,'
